EQUIPMENTID,HOUR,LANE_BUNDLE_DIRECTION,NR_LANES,TOTAL_VOLUME,AVG_SPEED_ARITHMETIC,AVG_SPEED_HARMONIC,OCCUPANCY
121744,19:15:00,C,2,237,67.44055555555555,63.90888888888889,18.591
121744,19:15:00,D,2,218,70.63344444444445,68.21788888888888,17.802222222222223
121744,19:20:00,C,2,234,67.84777777777778,64.17255555555555,18.59788888888889
121744,19:20:00,D,2,213,71.01255555555555,68.34677777777777,17.813111111111112
121744,19:25:00,C,2,231,68.63577777777778,65.054,17.977
121744,19:25:00,D,2,204,73.11677777777778,70.49633333333334,15.928777777777777
121744,19:30:00,C,2,229,68.89666666666666,65.31244444444444,17.624000000000002
121744,19:30:00,D,2,199,74.63433333333333,72.05422222222222,15.029666666666667
121744,19:35:00,C,2,225,69.66422222222222,65.98666666666666,17.208333333333332
121744,19:35:00,D,2,194,76.47244444444445,73.83366666666666,14.173333333333332
121744,19:40:00,C,2,220,69.99777777777778,66.15455555555556,16.77011111111111
121744,19:40:00,D,2,190,77.04644444444445,74.46844444444444,13.855333333333334
121744,19:45:00,C,2,215,70.7581111111111,67.03677777777777,16.09711111111111
121744,19:45:00,D,2,185,78.2268888888889,75.39277777777778,13.002222222222223
121744,19:50:00,C,2,212,71.32044444444445,67.54044444444445,15.770666666666665
121744,19:50:00,D,2,178,80.32066666666667,77.59077777777777,11.910777777777778
121744,19:55:00,C,2,202,72.50488888888889,68.434,14.878222222222222
121744,19:55:00,D,2,169,81.60755555555556,78.72755555555555,11.21711111111111
121744,20:00:00,C,2,198,73.03222222222222,69.094,14.416555555555556
121744,20:00:00,D,2,161,82.37022222222222,79.62322222222222,10.280000000000001
121745,17:00:00,C,4,216,81.07211111111111,79.19577777777778,6.966666666666667
121745,17:00:00,D,3,206,74.10177777777777,71.02144444444444,10.145444444444445
121745,17:05:00,C,4,226,80.91144444444444,79.20899999999999,7.194444444444445
121745,17:05:00,D,3,221,73.31322222222222,70.30555555555556,11.107333333333333
121745,17:10:00,C,4,242,80.38222222222223,78.713,7.749555555555556
121745,17:10:00,D,3,246,72.82466666666667,69.69666666666666,12.208666666666666
121745,17:15:00,C,4,249,79.99155555555555,78.21655555555556,7.98511111111111
121745,17:15:00,D,3,258,71.22666666666666,67.71933333333332,13.379555555555557
121745,17:20:00,C,4,254,79.928,78.12355555555555,8.249888888888888
121745,17:20:00,D,3,249,71.40533333333333,68.05111111111111,13.069333333333333
121745,17:25:00,C,4,250,79.862,78.11733333333333,8.203222222222221
121745,17:25:00,D,3,237,71.83533333333334,68.45011111111111,12.296111111111113
121745,17:30:00,C,4,244,79.81466666666667,78.10133333333333,8.099777777777778
121745,17:30:00,D,3,226,72.39033333333333,69.06044444444444,11.66711111111111
121745,17:35:00,C,4,244,79.71122222222222,77.82444444444444,8.311333333333334
121745,17:35:00,D,3,233,71.85344444444445,68.53222222222222,11.868444444444446
121745,17:40:00,C,4,254,79.3698888888889,77.50999999999999,8.444222222222223
121745,17:40:00,D,3,247,71.10755555555556,67.65533333333335,12.672222222222222
121745,17:45:00,C,4,258,79.08200000000001,77.32244444444444,8.585777777777778
121745,17:45:00,D,3,252,69.98066666666666,66.33711111111111,13.525777777777778
121745,17:50:00,C,4,259,78.93544444444444,77.20377777777777,8.586333333333332
121745,17:50:00,D,3,245,69.08411111111111,65.32855555555555,13.996444444444446
121745,17:55:00,C,4,256,78.94677777777778,77.13022222222223,8.657
121745,17:55:00,D,3,238,68.81844444444444,64.685,13.748
121745,18:00:00,C,4,254,78.84122222222223,76.72777777777777,8.628333333333332
121745,18:00:00,D,3,236,69.00144444444445,65.217,13.91288888888889
121745,18:05:00,C,4,256,78.70111111111112,76.74066666666667,8.707555555555555
121745,18:05:00,D,3,241,68.4661111111111,64.79844444444444,14.153333333333332
121745,18:10:00,C,4,266,78.40877777777777,76.56311111111111,8.908666666666667
121745,18:10:00,D,3,256,66.46755555555555,62.25477777777778,15.993666666666668
121745,18:15:00,C,4,277,77.74811111111111,75.81,9.473555555555556
121745,18:15:00,D,3,266,64.86877777777778,60.946444444444445,17.170222222222222
121745,18:20:00,C,4,279,77.79055555555556,75.95266666666666,9.446555555555555
121745,18:20:00,D,3,261,64.5338888888889,60.79388888888889,17.317444444444444
121745,18:25:00,C,4,274,77.65944444444445,75.83777777777777,9.28588888888889
121745,18:25:00,D,3,258,63.94155555555555,60.36255555555556,17.66311111111111
121745,18:30:00,C,4,272,77.206,75.24855555555555,9.207666666666666
121745,18:30:00,D,3,256,63.053666666666665,59.02177777777778,18.114333333333335
121745,18:35:00,C,4,267,77.61655555555555,75.85722222222222,8.78288888888889
121745,18:35:00,D,3,254,62.748999999999995,58.54844444444444,18.234777777777776
121745,18:40:00,C,4,270,77.59177777777778,75.80511111111112,8.867444444444445
121745,18:40:00,D,3,248,61.87266666666667,57.86544444444445,18.458777777777776
121745,18:45:00,C,4,268,77.68155555555556,75.83922222222222,8.754222222222221
121745,18:45:00,D,3,245,61.150111111111116,56.55588888888889,19.569111111111113
121745,18:50:00,C,4,267,77.45477777777778,75.66033333333334,8.794
121745,18:50:00,D,3,239,61.88644444444444,57.37622222222222,18.117
121745,18:55:00,C,4,262,77.17822222222222,75.16888888888889,8.753555555555554
121745,18:55:00,D,3,233,61.702444444444446,57.294666666666664,18.53
121745,19:00:00,C,4,258,77.1981111111111,75.14011111111111,8.535
121745,19:00:00,D,3,232,61.82233333333333,57.23233333333333,18.180444444444444
121745,19:05:00,C,4,260,77.31811111111111,75.45633333333333,8.530333333333333
121745,19:05:00,D,3,229,62.12422222222222,57.794,18.068333333333335
121745,19:10:00,C,4,264,76.81566666666666,74.78522222222222,8.847111111111111
121745,19:10:00,D,3,232,61.968111111111114,57.602333333333334,17.791777777777778
121745,19:15:00,C,4,261,77.023,74.97877777777778,8.930333333333333
121745,19:15:00,D,3,238,63.49044444444445,58.98788888888889,16.752666666666666
121745,19:20:00,C,4,260,76.67355555555555,74.66988888888889,9.195777777777778
121745,19:20:00,D,3,231,65.11733333333333,60.97033333333333,15.635444444444445
121745,19:25:00,C,4,256,77.1091111111111,74.85233333333333,9.016666666666667
121745,19:25:00,D,3,224,66.03611111111111,61.77488888888889,15.133666666666667
121745,19:30:00,C,4,254,77.0958888888889,75.08844444444445,8.90088888888889
121745,19:30:00,D,3,218,67.723,63.50844444444445,13.712333333333332
121745,19:35:00,C,4,248,77.36177777777779,75.43888888888888,8.588
121745,19:35:00,D,3,213,68.65455555555556,64.954,13.10611111111111
121745,19:40:00,C,4,243,77.96822222222222,75.8848888888889,8.254555555555555
121745,19:40:00,D,3,205,69.33677777777778,65.75966666666666,12.888666666666667
121745,19:45:00,C,4,236,78.76511111111111,76.90977777777778,7.760777777777778
121745,19:45:00,D,3,205,69.62755555555556,65.8741111111111,12.611333333333333
121745,19:50:00,C,4,230,79.1831111111111,77.38866666666667,7.536555555555555
121745,19:50:00,D,3,201,70.1601111111111,66.15977777777778,12.07788888888889
121745,19:55:00,C,4,222,79.64511111111112,77.821,7.294222222222222
121745,19:55:00,D,3,193,71.20433333333334,67.35633333333332,11.106666666666667
121745,20:00:00,C,4,215,79.79688888888889,78.03844444444445,7.027444444444445
121745,20:00:00,D,3,187,71.80788888888888,68.30511111111112,10.583111111111112
121746,17:00:00,C,3,98,81.43922222222221,79.87477777777778,3.9921111111111114
121746,17:00:00,D,3,83,81.60855555555555,80.09477777777778,3.3831111111111114
121746,17:05:00,C,3,104,81.29311111111112,79.71477777777778,4.203777777777778
121746,17:05:00,D,3,88,81.65166666666666,80.05533333333332,3.568
121746,17:10:00,C,3,122,81.19122222222222,79.69922222222223,4.927555555555556
121746,17:10:00,D,3,90,81.37944444444445,79.88711111111111,3.640111111111111
121746,17:15:00,C,3,133,81.27455555555555,79.79844444444444,5.300222222222222
121746,17:15:00,D,3,89,81.82866666666666,80.2958888888889,3.585
121746,17:20:00,C,3,134,81.03211111111112,79.55677777777777,5.428888888888889
121746,17:20:00,D,3,87,81.661,80.01177777777778,3.518111111111111
121746,17:25:00,C,3,129,81.6081111111111,80.13788888888888,5.186444444444444
121746,17:25:00,D,3,84,81.7491111111111,80.14888888888889,3.3596666666666666
121746,17:30:00,C,3,130,81.33577777777778,79.84966666666666,5.241111111111111
121746,17:30:00,D,3,86,82.18922222222221,80.51433333333333,3.476888888888889
121746,17:35:00,C,3,132,81.26877777777779,79.73477777777778,5.325111111111111
121746,17:35:00,D,3,91,81.73977777777777,80.04877777777779,3.6922222222222225
121746,17:40:00,C,3,133,80.84388888888888,79.33122222222222,5.428
121746,17:40:00,D,3,99,81.59744444444443,80.092,3.944777777777778
121746,17:45:00,C,3,142,80.525,79.06744444444445,5.798777777777778
121746,17:45:00,D,3,98,81.67477777777778,80.06311111111111,3.932222222222222
121746,17:50:00,C,3,142,80.36422222222222,78.8231111111111,5.798222222222223
121746,17:50:00,D,3,94,81.45444444444443,79.9901111111111,3.8003333333333336
121746,17:55:00,C,3,139,80.62311111111111,79.14311111111111,5.650222222222222
121746,17:55:00,D,3,90,81.788,80.288,3.615222222222222
121746,18:00:00,C,3,141,80.1348888888889,78.56088888888888,5.740666666666666
121746,18:00:00,D,3,88,81.49688888888889,80.01822222222222,3.574666666666667
121746,18:05:00,C,3,141,79.97455555555555,78.44466666666668,5.813888888888889
121746,18:05:00,D,3,96,82.00711111111112,80.5278888888889,3.8217777777777777
121746,18:10:00,C,3,158,79.97877777777778,78.51577777777779,6.4561111111111105
121746,18:10:00,D,3,111,81.32833333333333,79.87088888888889,4.446777777777777
121746,18:15:00,C,3,165,79.74155555555555,78.28211111111112,6.725888888888889
121746,18:15:00,D,3,110,81.00588888888889,79.55788888888888,4.359
121746,18:20:00,C,3,167,79.67044444444444,78.19666666666666,6.834888888888889
121746,18:20:00,D,3,99,81.93111111111111,80.422,3.916111111111111
121746,18:25:00,C,3,162,79.76233333333333,78.28744444444445,6.556666666666667
121746,18:25:00,D,3,98,81.59766666666667,80.13155555555555,3.884
121746,18:30:00,C,3,158,79.54277777777779,78.00133333333333,6.402555555555556
121746,18:30:00,D,3,94,81.70611111111111,80.205,3.707
121746,18:35:00,C,3,153,79.84700000000001,78.35177777777777,6.178444444444444
121746,18:35:00,D,3,96,81.9948888888889,80.45744444444445,3.788333333333333
121746,18:40:00,C,3,157,79.724,78.21933333333332,6.35
121746,18:40:00,D,3,98,81.32433333333333,79.70233333333333,3.892888888888889
121746,18:45:00,C,3,152,79.91288888888889,78.42844444444445,6.122111111111111
121746,18:45:00,D,3,97,81.61233333333332,80.10766666666666,3.8717777777777775
121746,18:50:00,C,3,148,79.65899999999999,78.14344444444444,5.996444444444444
121746,18:50:00,D,3,93,81.56177777777778,80.06477777777778,3.725222222222222
121746,18:55:00,C,3,145,79.67233333333334,78.12766666666667,5.893222222222222
121746,18:55:00,D,3,90,81.85477777777778,80.30655555555556,3.642888888888889
121746,19:00:00,C,3,141,79.82555555555555,78.26811111111111,5.720777777777778
121746,19:00:00,D,3,85,81.69988888888889,80.17733333333334,3.4234444444444447
121746,19:05:00,C,3,142,79.89033333333333,78.39111111111112,5.729222222222222
121746,19:05:00,D,3,87,81.71133333333334,80.17122222222223,3.431
121746,19:10:00,C,3,142,79.53655555555555,77.99111111111111,5.774555555555556
121746,19:10:00,D,3,91,81.64711111111112,80.11366666666666,3.5974444444444442
121746,19:15:00,C,3,146,79.39244444444444,77.89577777777778,5.912000000000001
121746,19:15:00,D,3,89,81.783,80.18866666666666,3.5076666666666667
121746,19:20:00,C,3,145,79.56888888888889,77.97177777777777,5.841222222222223
121746,19:20:00,D,3,86,82.06111111111112,80.37422222222223,3.4058888888888887
121746,19:25:00,C,3,142,79.731,78.11888888888889,5.707777777777778
121746,19:25:00,D,3,82,81.64677777777777,80.14155555555556,3.2666666666666666
121746,19:30:00,C,3,137,79.91944444444445,78.38,5.494111111111112
121746,19:30:00,D,3,82,81.60255555555555,80.11355555555556,3.2944444444444443
121746,19:35:00,C,3,129,79.97455555555555,78.50533333333333,5.157444444444445
121746,19:35:00,D,3,82,81.95522222222222,80.50688888888888,3.2294444444444443
121746,19:40:00,C,3,127,80.09377777777777,78.59955555555555,5.124888888888889
121746,19:40:00,D,3,82,81.97544444444445,80.50322222222222,3.251777777777778
121746,19:45:00,C,3,123,80.46722222222222,78.85644444444445,4.940888888888889
121746,19:45:00,D,3,79,82.44444444444444,80.86055555555555,3.1308888888888884
121746,19:50:00,C,3,119,80.572,78.97577777777778,4.748666666666667
121746,19:50:00,D,3,74,82.69722222222222,81.16455555555557,2.9491111111111112
121746,19:55:00,C,3,112,80.99466666666667,79.45877777777778,4.4639999999999995
121746,19:55:00,D,3,72,82.92588888888889,81.23155555555556,2.830111111111111
121746,20:00:00,C,3,106,81.39011111111111,79.86411111111111,4.189333333333334
121746,20:00:00,D,3,69,82.66633333333334,81.18444444444445,2.7111111111111112
121749,17:00:00,C,3,88,79.59896551724138,78.17597701149425,3.613448275862069
121749,17:00:00,D,3,0,0.0,0.0,0.0
121749,17:05:00,C,3,95,79.4474418604651,78.06930232558139,3.8582558139534884
121749,17:05:00,D,3,0,0.0,0.0,0.0
121749,17:10:00,C,3,94,79.27149425287357,77.75908045977012,3.8354022988505747
121749,17:10:00,D,3,0,0.0,0.0,0.0
121749,17:15:00,C,3,90,79.02558139534884,77.52046511627907,3.708837209302325
121749,17:15:00,D,3,0,0.0,0.0,0.0
121749,17:20:00,C,3,89,78.69793103448276,77.09735632183909,3.6808045977011496
121749,17:20:00,D,3,0,0.0,0.0,0.0
121749,17:25:00,C,3,86,78.8006896551724,77.42356321839081,3.495402298850575
121749,17:25:00,D,3,0,0.0,0.0,0.0
121749,17:30:00,C,3,95,78.68776470588236,76.98858823529412,3.914705882352941
121749,17:30:00,D,3,0,0.0,0.0,0.0
121749,17:35:00,C,3,100,78.56942528735632,77.08597701149425,4.126666666666666
121749,17:35:00,D,3,0,0.0,0.0,0.0
121749,17:40:00,C,3,100,78.49908045977011,77.11816091954023,4.076436781609195
121749,17:40:00,D,3,0,0.0,0.0,0.0
121749,17:45:00,C,3,97,79.16218390804598,77.84402298850576,3.9121839080459773
121749,17:45:00,D,3,0,0.0,0.0,0.0
121749,17:50:00,C,3,94,78.75068965517241,77.19735632183908,3.833448275862069
121749,17:50:00,D,3,0,0.0,0.0,0.0
121749,17:55:00,C,3,92,79.06448275862068,77.63908045977011,3.725402298850575
121749,17:55:00,D,3,0,0.0,0.0,0.0
121749,18:00:00,C,3,92,78.97586206896551,77.49977011494252,3.729310344827586
121749,18:00:00,D,3,0,0.0,0.0,0.0
121749,18:05:00,C,3,97,79.12183908045978,77.62655172413794,3.9235632183908047
121749,18:05:00,D,3,0,0.0,0.0,0.0
121749,18:10:00,C,3,103,79.11126436781609,77.67850574712644,4.161609195402299
121749,18:10:00,D,3,0,0.0,0.0,0.0
121749,18:15:00,C,3,99,79.22436781609194,77.8148275862069,4.011724137931035
121749,18:15:00,D,3,0,0.0,0.0,0.0
121749,18:20:00,C,3,93,79.643908045977,78.15494252873563,3.7620689655172415
121749,18:20:00,D,3,0,0.0,0.0,0.0
121749,18:25:00,C,3,89,79.6151724137931,78.17172413793104,3.612413793103448
121749,18:25:00,D,3,0,0.0,0.0,0.0
121749,18:30:00,C,3,91,79.72425287356322,78.31206896551724,3.617241379310345
121749,18:30:00,D,3,0,0.0,0.0,0.0
121749,18:35:00,C,3,91,79.74252873563219,78.2564367816092,3.640229885057471
121749,18:35:00,D,3,0,0.0,0.0,0.0
121749,18:40:00,C,3,92,79.50837209302325,78.15011627906976,3.665581395348837
121749,18:40:00,D,3,0,0.0,0.0,0.0
121749,18:45:00,C,3,90,79.86505747126436,78.25770114942529,3.6235632183908044
121749,18:45:00,D,3,0,0.0,0.0,0.0
121749,18:50:00,C,3,88,79.26114942528736,77.8135632183908,3.5380459770114943
121749,18:50:00,D,3,0,0.0,0.0,0.0
121749,18:55:00,C,3,85,79.50022988505748,77.90137931034482,3.4506896551724138
121749,18:55:00,D,3,0,0.0,0.0,0.0
121749,19:00:00,C,3,83,79.34183908045976,77.82540229885058,3.322298850574713
121749,19:00:00,D,3,0,0.0,0.0,0.0
121749,19:05:00,C,3,84,79.41988505747126,77.99885057471263,3.351034482758621
121749,19:05:00,D,3,0,0.0,0.0,0.0
121749,19:10:00,C,3,83,79.55896551724138,77.87965517241379,3.36183908045977
121749,19:10:00,D,3,0,0.0,0.0,0.0
121749,19:15:00,C,3,80,80.00616279069767,78.44872093023255,3.191860465116279
121749,19:15:00,D,3,0,0.0,0.0,0.0
121749,19:20:00,C,3,76,80.06586206896552,78.60264367816092,3.021264367816092
121749,19:20:00,D,3,0,0.0,0.0,0.0
121749,19:25:00,C,3,74,80.0409195402299,78.68954022988505,2.949080459770115
121749,19:25:00,D,3,0,0.0,0.0,0.0
121749,19:30:00,C,3,77,80.06379310344828,78.67724137931035,3.0525287356321837
121749,19:30:00,D,3,0,0.0,0.0,0.0
121749,19:35:00,C,3,73,80.08149425287357,78.62091954022989,2.8871264367816094
121749,19:35:00,D,3,0,0.0,0.0,0.0
121749,19:40:00,C,3,75,80.32883720930232,78.77279069767442,2.9977906976744184
121749,19:40:00,D,3,0,0.0,0.0,0.0
121749,19:45:00,C,3,70,80.15080459770115,78.45597701149426,2.8154022988505747
121749,19:45:00,D,3,0,0.0,0.0,0.0
121749,19:50:00,C,3,67,80.39139534883721,78.76895348837209,2.6902325581395345
121749,19:50:00,D,3,0,0.0,0.0,0.0
121749,19:55:00,C,3,64,80.3863953488372,78.95034883720929,2.561860465116279
121749,19:55:00,D,3,0,0.0,0.0,0.0
121749,20:00:00,C,3,63,80.64080459770115,79.2319540229885,2.507241379310345
121749,20:00:00,D,3,0,0.0,0.0,0.0
121750,17:00:00,C,2,110,92.12077777777779,89.53722222222223,5.971111111111111
121750,17:00:00,D,2,82,90.99666666666667,88.07455555555556,4.570111111111111
121750,17:05:00,C,2,117,91.66077777777777,89.09444444444445,6.356111111111111
121750,17:05:00,D,2,87,91.05911111111111,88.17877777777778,4.825
121750,17:10:00,C,2,129,91.89966666666666,89.29077777777778,6.948666666666667
121750,17:10:00,D,2,89,90.42488888888889,87.58877777777778,4.939555555555556
121750,17:15:00,C,2,147,91.62155555555556,88.92311111111111,7.881666666666667
121750,17:15:00,D,2,89,90.61188888888888,87.71177777777778,4.914111111111111
121750,17:20:00,C,2,150,91.22933333333333,88.51266666666668,8.133333333333333
121750,17:20:00,D,2,86,90.61844444444445,87.698,4.742555555555556
121750,17:25:00,C,2,145,91.661,88.98566666666667,7.839555555555555
121750,17:25:00,D,2,83,90.997,88.15588888888888,4.565444444444444
121750,17:30:00,C,2,143,91.47166666666668,88.82711111111111,7.709222222222222
121750,17:30:00,D,2,85,91.30144444444444,88.38322222222222,4.788333333333333
121750,17:35:00,C,2,144,91.1418888888889,88.38066666666667,7.832888888888889
121750,17:35:00,D,2,94,90.40422222222222,87.60588888888888,5.245111111111111
121750,17:40:00,C,2,146,91.22555555555554,88.62844444444445,7.9447777777777775
121750,17:40:00,D,2,104,89.148,86.25577777777778,5.812111111111111
121750,17:45:00,C,2,152,90.32055555555556,87.66211111111112,8.36988888888889
121750,17:45:00,D,2,99,89.42388888888888,86.47933333333334,5.615222222222222
121750,17:50:00,C,2,155,89.94277777777778,87.15566666666668,8.532555555555556
121750,17:50:00,D,2,95,89.29088888888889,86.405,5.433777777777778
121750,17:55:00,C,2,153,89.72133333333333,86.92077777777777,8.435444444444444
121750,17:55:00,D,2,92,89.54888888888888,86.55177777777777,5.153444444444444
121750,18:00:00,C,2,152,89.59122222222223,86.89222222222223,8.401666666666667
121750,18:00:00,D,2,89,89.03222222222222,86.13766666666668,5.033111111111111
121750,18:05:00,C,2,156,89.33788888888888,86.63644444444444,8.648
121750,18:05:00,D,2,103,88.35355555555556,85.42744444444445,5.7796666666666665
121750,18:10:00,C,2,169,88.41588888888889,85.65955555555556,9.470666666666666
121750,18:10:00,D,2,114,87.93766666666667,85.10900000000001,6.446333333333333
121750,18:15:00,C,2,176,88.17733333333334,85.47733333333333,9.92
121750,18:15:00,D,2,108,87.82466666666667,84.97755555555555,6.125666666666666
121750,18:20:00,C,2,179,88.152,85.51555555555555,9.988444444444445
121750,18:20:00,D,2,102,88.7898888888889,85.90077777777778,5.692222222222222
121750,18:25:00,C,2,175,88.71566666666666,86.018,9.744
121750,18:25:00,D,2,98,89.02933333333334,86.16844444444445,5.4479999999999995
121750,18:30:00,C,2,174,88.05355555555555,85.37033333333333,9.729444444444445
121750,18:30:00,D,2,96,89.79377777777778,86.98477777777778,5.269444444444445
121750,18:35:00,C,2,168,88.35555555555555,85.75211111111112,9.347222222222221
121750,18:35:00,D,2,97,88.64155555555556,85.80144444444444,5.416222222222222
121750,18:40:00,C,2,165,88.71944444444445,86.01444444444445,9.121222222222222
121750,18:40:00,D,2,103,88.035,85.06188888888889,5.807555555555555
121750,18:45:00,C,2,169,88.13777777777779,85.44233333333334,9.415777777777777
121750,18:45:00,D,2,102,87.86966666666667,84.96388888888889,5.757
121750,18:50:00,C,2,163,88.44544444444445,85.79955555555556,9.045555555555556
121750,18:50:00,D,2,95,88.44433333333333,85.56588888888889,5.378444444444445
121750,18:55:00,C,2,159,88.57422222222223,85.80077777777777,8.843111111111112
121750,18:55:00,D,2,90,89.35222222222222,86.50133333333333,5.032222222222222
121750,19:00:00,C,2,155,88.65722222222222,85.93555555555555,8.562666666666667
121750,19:00:00,D,2,85,89.03633333333333,86.00233333333334,4.711333333333333
121750,19:05:00,C,2,157,88.69144444444444,86.02422222222222,8.674111111111111
121750,19:05:00,D,2,88,88.539,85.65955555555556,4.947111111111111
121750,19:10:00,C,2,157,88.61233333333332,85.96522222222222,8.652
121750,19:10:00,D,2,92,87.96133333333334,85.17322222222222,5.182666666666667
121750,19:15:00,C,2,161,88.30422222222222,85.61477777777777,8.921333333333333
121750,19:15:00,D,2,89,88.47588888888889,85.546,5.020666666666667
121750,19:20:00,C,2,158,88.52777777777777,85.81955555555555,8.733777777777778
